"Solid5500_2014_06_06_1_L03.1.Idx_1.1.count" "Solid5500_2014_06_06_1_L03.1.Idx_2.2.count" "Solid5500_2014_06_06_1_L03.1.Idx_3.3.count" "Solid5500_2014_06_06_1_L03.1.Idx_4.4.count" "Solid5500_2014_06_06_1_L04.1.Idx_5.5.count" "Solid5500_2014_06_06_1_L04.1.Idx_6.6.count" "Solid5500_2014_06_06_1_L04.1.Idx_7.7.count" "Solid5500_2014_06_06_1_L04.1.Idx_8.8.count"
"phaw_30_tra_m.013912" 10 4 344 518 1007 2 207 47
"phaw_30_tra_m.013987" 25 40 0 4 15 15 6 16
"phaw_30_tra_m.014233" 254 475 131 48 10 18 60 89
"phaw_30_tra_m.014420" 44 225 1239 851 2453 10 1828 153
"phaw_30_tra_m.014441" 4 4 24 28 2 11 13 8
"phaw_30_tra_m.014506" 21 128 275 331 61 97 185 276
"phaw_30_tra_m.014820" 2 2 42 434 1 1 308 0
"phaw_30_tra_m.014836" 658 774 179 144 121 194 281 201
"phaw_30_tra_m.014989" 136 303 758 731 363 612 420 715
"phaw_30_tra_m.015051" 1 5 188 226 540 2 97 21
"phaw_30_tra_m.015131" 987 1205 310 319 94 399 302 232
"phaw_30_tra_m.015170" 0 3 86 82 109 0 10 13
"phaw_30_tra_m.015179" 23 72 168 450 111 207 245 294
"phaw_30_tra_m.015273" 13 12 826 1229 2842 9 448 138
"phaw_30_tra_m.015432" 1333 1519 405 414 311 651 506 446
"phaw_30_tra_m.015489" 149 217 311 1168 390 674 634 584
"phaw_30_tra_m.015508" 1 18 92 62 319 1 331 23
"phaw_30_tra_m.015723" 3 30 254 161 1267 0 223 31
"phaw_30_tra_m.015759" 1 3 68 72 154 1 30 32
"phaw_30_tra_m.016496" 2 0 21 23 0 1 3 11
"phaw_30_tra_m.016546" 2 4 34 29 2 0 13 52
"phaw_30_tra_m.016555" 384 259 14 8 0 1 101 38
"phaw_30_tra_m.017049" 8 1 39 38 1 1 14 9
"phaw_30_tra_m.017271" 13 30 89 80 42 139 39 57
"phaw_30_tra_m.017516" 21 33 7 2 1 4 10 6
"phaw_30_tra_m.017638" 120 185 244 803 487 630 356 349
"phaw_30_tra_m.017771" 723 1150 3212 2777 298 819 1482 2861
"phaw_30_tra_m.017812" 11 8 59 59 0 1 24 58
"phaw_30_tra_m.017918" 47 60 9 19 9 9 6 5
"phaw_30_tra_m.017924" 17 20 91 67 58 105 82 49
"phaw_30_tra_m.017932" 18 43 210 177 17 50 99 107
"phaw_30_tra_m.018020" 74 124 225 642 371 628 529 559
"phaw_30_tra_m.018028" 17 18 64 131 75 214 127 106
"phaw_30_tra_m.018455" 11 8 52 38 39 47 22 18
"phaw_30_tra_m.018771" 51 69 273 224 94 103 135 170
"phaw_30_tra_m.018829" 18 55 193 138 23 62 58 168
"phaw_30_tra_m.018832" 385 475 150 125 103 111 118 85
"phaw_30_tra_m.018840" 7 91 1288 699 2079 8 1138 94
"phaw_30_tra_m.018935" 23 14 116 106 13 32 59 45
"phaw_30_tra_m.019450" 1774 2105 438 352 397 883 770 594
"phaw_30_tra_m.019737" 8 4 145 361 740 0 65 24
"phaw_30_tra_m.019754" 3369 5483 1393 1264 1100 1680 1239 827
"phaw_30_tra_m.019861" 88 313 1527 904 899 3 343 33
"phaw_30_tra_m.020034" 1 0 66 55 276 1 113 12
"phaw_30_tra_m.020036" 2 7 119 102 745 3 218 16
"phaw_30_tra_m.020048" 346 203 70 78 8 31 66 35
"phaw_30_tra_m.020102" 1082 1009 305 355 72 301 382 266
"phaw_30_tra_m.020159" 334 397 658 2083 18 17 1395 814
"phaw_30_tra_m.020214" 36 102 154 509 314 631 485 385
"phaw_30_tra_m.020252" 262 311 93 85 57 216 121 65
"phaw_30_tra_m.020413" 3 2 191 29 1171 2 24 5
"phaw_30_tra_m.020483" 5 13 273 202 1074 3 98 26
"phaw_30_tra_m.020559" 295 713 3671 4268 87 83 1109 2102
"phaw_30_tra_m.020775" 1 8 170 98 0 3 3 39
"phaw_30_tra_m.020932" 12 9 73 57 1 3 8 31
"phaw_30_tra_m.020984" 13 20 60 154 47 61 81 87
"phaw_30_tra_m.021159" 2994 5766 1907 705 666 1349 871 773
"phaw_30_tra_m.021265" 27 47 9 7 4 7 15 9
"phaw_30_tra_m.021490" 19 52 574 284 867 4 577 150
"phaw_30_tra_m.021605" 11 13 37 75 9 41 25 27
"phaw_30_tra_m.021697" 38 109 191 551 221 484 215 210
"phaw_30_tra_m.021727" 5 6 25 35 0 1 6 26
"phaw_30_tra_m.021806" 2189 2422 111 89 125 296 541 268
"phaw_30_tra_m.021944" 130 250 753 768 124 172 264 414
"phaw_30_tra_m.022000" 12984 15816 4704 4275 2544 7039 6883 4950
"phaw_30_tra_m.022061" 1898 1361 332 202 114 141 587 461
"phaw_30_tra_m.022108" 405 402 108 149 46 177 203 127
"phaw_30_tra_m.022306" 38 46 129 203 30 130 108 115
"phaw_30_tra_m.022351" 122 148 749 662 54 103 161 408
"phaw_30_tra_m.022352" 11 18 978 691 2251 10 319 219
"phaw_30_tra_m.022358" 25 3 105 129 38 0 48 125
"phaw_30_tra_m.022477" 2 1 90 3 0 1 112 20
"phaw_30_tra_m.022480" 51 162 726 703 33 91 178 268
"phaw_30_tra_m.022551" 207 491 3119 2084 366 367 814 1621
"phaw_30_tra_m.022671" 0 1 215 34 1877 3 40 6
"phaw_30_tra_m.022714" 4607 4320 1435 1495 1460 1515 1283 1040
"phaw_30_tra_m.022894" 72 235 936 878 62 115 287 504
"phaw_30_tra_m.022910" 410 806 195 133 182 217 263 222
"phaw_30_tra_m.023038" 2 25 189 114 0 1 10 89
"phaw_30_tra_m.023044" 4 8 109 132 0 5 42 56
"phaw_30_tra_m.023182" 13 50 483 489 2110 9 231 117
"phaw_30_tra_m.023609" 15 13 61 111 24 33 40 31
"phaw_30_tra_m.023679" 24 11 95 67 40 81 64 38
"phaw_30_tra_m.023680" 56 106 292 393 145 246 196 149
"phaw_30_tra_m.024128" 36 248 9 8 1 0 4 5
"phaw_30_tra_m.024474" 3693 4555 1357 1189 870 1303 1655 1073
"phaw_30_tra_m.024476" 166 165 31 38 13 23 26 29
"phaw_30_tra_m.024681" 697 768 80 109 3 13 240 176
"phaw_30_tra_m.024771" 1 5 21 22 70 0 51 2
"phaw_30_tra_m.024972" 4 25 568 500 0 1 154 106
"phaw_30_tra_m.025269" 11 15 24 127 78 162 33 63
"phaw_30_tra_m.025417" 18 40 222 312 235 596 114 283
"phaw_30_tra_m.025705" 5 117 0 1 0 1 1 7
"phaw_30_tra_m.025747" 24 20 2 2 1 7 1 10
"phaw_30_tra_m.025753" 57 32 13 8 5 4 12 9
"phaw_30_tra_m.025828" 1 2 31 34 2 3 7 20
"phaw_30_tra_m.025904" 62 60 12 16 10 28 17 15
"phaw_30_tra_m.026183" 12 8 325 152 590 1 111 36
"phaw_30_tra_m.026400" 1 3 58 48 0 1 8 30
"phaw_30_tra_m.026413" 4 168 6 5 6 13 2 7
"phaw_30_tra_m.026477" 2 2 312 557 4893 9 553 22
"phaw_30_tra_m.026521" 1 1 19 55 1 1 17 18
"phaw_30_tra_m.026696" 1269 2600 10188 8239 1039 1420 2891 4665
"phaw_30_tra_u.000735" 5 6 23 239 162 229 181 257
"phaw_30_tra_u.019420" 1412 1140 314 489 159 186 268 286
